rowname	Order	Family	Genus	source	mapping	mapping2	color
S35CNODE_384_length_43432_cov_8.479217||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_393_length_42844_cov_12.427914||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_398_length_42560_cov_19.303941||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_414_length_41543_cov_7.471534||full_1	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S35CNODE_41_length_200198_cov_12.553819||0_partial_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_430_length_40819_cov_40.517246||full_1	Unassigned	Unassigned	Unassigned	FMT study	Donor 1 specific	Donor 1 specific	#FDC086
S35CNODE_457_length_39165_cov_6.304628||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_501_length_35969_cov_52.574985||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_522_length_35354_cov_6.448795||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_637_length_29583_cov_69.769507||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_66_length_162044_cov_8.803079||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_676_length_28085_cov_13.692472||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_68_length_160943_cov_47.369164||0_partial	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_6_length_392600_cov_30.816745||0_partial_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_746_length_25336_cov_84.345121||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_755_length_25172_cov_55.463511||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_75_length_152811_cov_39.305193||0_partial_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_840_length_22668_cov_249.672268||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_915_length_20642_cov_16.643561||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_91_length_132429_cov_12.741686||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_929_length_20171_cov_15.165291||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S35CNODE_977_length_19156_cov_4.543741||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_101_length_83572_cov_58.511956||0_partial_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_1158_length_16201_cov_13.470395||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_1300_length_14575_cov_7.174449||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_1308_length_14522_cov_102.034492||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_1374_length_13833_cov_5.258456||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_1471_length_13108_cov_11.899946||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_1495_length_12961_cov_9.209515||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S36CNODE_14_length_236527_cov_97.934512||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_1578_length_12248_cov_10.881981||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_1636_length_11883_cov_4.198935||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_1711_length_11401_cov_64.734796||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_1720_length_11350_cov_26.305533||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_1748_length_11122_cov_39.982651||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_179_length_62412_cov_12.011242||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_17_length_215748_cov_305.907341||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_1868_length_10496_cov_10.523417||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_1960_length_10028_cov_33.747619||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_2084_length_9457_cov_7.003510||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_213_length_56366_cov_7.620980||0_partial	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_2198_length_9020_cov_10.964863||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_2337_length_8466_cov_61.612412||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_2473_length_8033_cov_30.576586||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_2509_length_7915_cov_6.126590||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_2516_length_7887_cov_20.495531||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S36CNODE_2532_length_7857_cov_10.893361||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_2563_length_7772_cov_4.063496||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_25_length_176242_cov_30.352200||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_271_length_47463_cov_7.732471||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_2727_length_7236_cov_9.730817||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_2740_length_7214_cov_7.130186||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_2857_length_6919_cov_6.286859||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 1 specific	Donor 1 specific	#FDC086
S36CNODE_3093_length_6349_cov_3.779314||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_310_length_44342_cov_16.479260||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_314_length_44213_cov_59.740206||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_316_length_44121_cov_16.460877||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_3185_length_6136_cov_2.892452||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_318_length_44091_cov_90.423426||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_3255_length_6000_cov_4.901262||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_3316_length_5871_cov_5.152338||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_336_length_41851_cov_6.701885||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_3406_length_5722_cov_42.056997||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S36CNODE_3579_length_5450_cov_4.605931||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_3658_length_5318_cov_3.351511||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_365_length_39660_cov_40.285116||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_3748_length_5188_cov_33.914865||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_379_length_38669_cov_54.835966||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_380_length_38632_cov_36.309615||0_partial	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_3830_length_5073_cov_48.662615||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_444_length_34705_cov_7.470332||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_483_length_32240_cov_26.783564||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_503_length_31003_cov_25.079003||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_51_length_121893_cov_17.192575||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_569_length_28364_cov_11.448585||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_667_length_25413_cov_6.668270||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_73_length_102193_cov_20.790519||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_75_length_101048_cov_23.485796||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_78_length_99636_cov_171.579408||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_822_length_21749_cov_45.682447||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_883_length_20673_cov_15.141721||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S36CNODE_927_length_19900_cov_34.005745||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_951_length_19441_cov_48.138244||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S36CNODE_958_length_19300_cov_29.732086||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S37CNODE_104_length_53416_cov_54.045989||0_partial_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S37CNODE_1136_length_6576_cov_4.563717||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 1 specific	Donor 1 specific	#FDC086
S37CNODE_1361_length_5573_cov_3.763139||full	Unassigned	Unassigned	Unassigned	FMT study	Not from donors	Not from donors	#E7298A
S37CNODE_13_length_153248_cov_1424.204180||0_partial_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S37CNODE_1422_length_5283_cov_4.021423||full	Unassigned	Unassigned	Unassigned	FMT study	Not from donors	Not from donors	#E7298A
S37CNODE_143_length_39684_cov_23.526231||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S37CNODE_158_length_35390_cov_134.978265||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S37CNODE_22_length_133477_cov_33.057382||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S37CNODE_25_length_122982_cov_58.944146||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S37CNODE_261_length_22875_cov_83.609290||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S37CNODE_34_length_108009_cov_789.661328||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S37CNODE_554_length_12781_cov_4.195270||full	Unassigned	Unassigned	Unassigned	FMT study	Not from donors	Not from donors	#E7298A
S37CNODE_605_length_11773_cov_4.504950||full	Unassigned	Unassigned	Unassigned	FMT study	Not from donors	Not from donors	#E7298A
S37CNODE_656_length_10857_cov_4.753009||full_1	Unassigned	Unassigned	Unassigned	FMT study	Not from donors	Not from donors	#E7298A
S37CNODE_67_length_70429_cov_47.873163||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S37CNODE_794_length_9256_cov_3.988371||full	Unassigned	Unassigned	Unassigned	FMT study	Not from donors	Not from donors	#E7298A
S37CNODE_81_length_63665_cov_6.724587||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_1092_length_25070_cov_11.692345||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_1113_length_24701_cov_52.398645||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_135_length_69484_cov_17.185081||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_136_length_69447_cov_271.056375||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_1390_length_21596_cov_59.494220||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_1410_length_21433_cov_15.375807||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_1485_length_20708_cov_8.496344||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S38CNODE_1567_length_19898_cov_7.866905||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S38CNODE_1588_length_19750_cov_14.131962||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_1613_length_19621_cov_11.430594||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_1648_length_19451_cov_15.094556||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_1691_length_19118_cov_4.869958||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_1746_length_18769_cov_7.650743||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_1792_length_18466_cov_8.892184||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_1818_length_18278_cov_8.246008||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_186_length_60515_cov_26.103870||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_1919_length_17736_cov_33.662972||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_1963_length_17501_cov_15.549123||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_1974_length_17413_cov_15.261148||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_1987_length_17327_cov_8.114231||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2105_length_16738_cov_9.592280||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2166_length_16354_cov_5.375360||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_216_length_57218_cov_75.604220||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_218_length_57062_cov_7.270633||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2218_length_16137_cov_58.014550||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2224_length_16128_cov_35.696136||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2231_length_16088_cov_44.149941||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2247_length_16027_cov_27.136927||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2280_length_15885_cov_6.393367||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2303_length_15794_cov_11.658654||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_232_length_55161_cov_17.989384||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_233_length_55134_cov_39.362080||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2365_length_15468_cov_163.707520||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2367_length_15460_cov_12.691399||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2396_length_15350_cov_4.687806||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S38CNODE_239_length_54596_cov_134.585816||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2405_length_15313_cov_120.452418||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2428_length_15201_cov_5.802456||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2478_length_15049_cov_35.242630||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_249_length_53477_cov_37.855434||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2512_length_14928_cov_10.553627||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S38CNODE_2514_length_14925_cov_17.218558||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S38CNODE_257_length_52933_cov_27.794508||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2711_length_14161_cov_9.039487||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S38CNODE_2769_length_13967_cov_5.934876||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2805_length_13845_cov_21.142132||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_280_length_51730_cov_11.253430||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2880_length_13627_cov_12.994695||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2889_length_13600_cov_14.237652||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2941_length_13456_cov_7.423849||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2949_length_13434_cov_8.281710||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2954_length_13418_cov_64.112699||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_2998_length_13322_cov_4.951006||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3124_length_12971_cov_4.820068||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3129_length_12950_cov_11.884684||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S38CNODE_3136_length_12924_cov_5.418991||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3146_length_12893_cov_22.583179||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_314_length_48989_cov_7.792700||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3154_length_12881_cov_6.897006||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3177_length_12814_cov_17.098989||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3241_length_12597_cov_8.717270||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3264_length_12537_cov_8.766464||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3277_length_12499_cov_4.149952||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3285_length_12487_cov_6.304778||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_329_length_47596_cov_8.233651||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_330_length_47541_cov_103.853199||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3325_length_12394_cov_4.698841||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3330_length_12375_cov_20.741234||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S38CNODE_334_length_47358_cov_6.590893||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_335_length_47356_cov_17.284159||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_337_length_47292_cov_64.144992||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_338_length_47166_cov_9.391756||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3405_length_12158_cov_17.384698||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3466_length_12001_cov_14.712121||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3537_length_11814_cov_13.120844||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S38CNODE_3552_length_11770_cov_5.259411||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3580_length_11702_cov_20.647978||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3605_length_11646_cov_15.439910||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3658_length_11481_cov_9.553124||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_365_length_45553_cov_5.727307||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3661_length_11468_cov_11.681591||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3677_length_11427_cov_29.013806||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_367_length_45489_cov_19.576925||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3754_length_11246_cov_7.212224||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_3768_length_11208_cov_5.832511||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S38CNODE_3813_length_11120_cov_6.167375||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S38CNODE_3829_length_11094_cov_5.987046||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_392_length_43924_cov_20.452666||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_400_length_43392_cov_12.992870||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_4062_length_10598_cov_11.018116||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_407_length_42984_cov_17.964383||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_4082_length_10564_cov_9.400324||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_410_length_42884_cov_32.458358||full_1	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_4156_length_10413_cov_5.046727||full	Unassigned	Unassigned	Unassigned	FMT study	Donor 2 specific	Donor 2 specific	#FFFF99
S38CNODE_4306_length_10102_cov_22.539465||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_4310_length_10095_cov_26.376394||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_431_length_41452_cov_23.373626||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_4325_length_10068_cov_12.649655||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_4389_length_9964_cov_4.635584||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
S38CNODE_446_length_40475_cov_31.736294||full	Unassigned	Unassigned	Unassigned	FMT study	Shared by donors	Shared by donors	#1F78B4
