Gene_family	Centroid_gene_ID	GFF_locus_tag	Product	EC_number	Protein_id
g020738	GCF_003719715:NZ_RIAU01000001.1:730008-730880	GCF_003719715:JJAEFDDB_00750	Glucose-1-phosphate thymidylyltransferase	2.7.7.24	
g020739	GCF_003719715:NZ_RIAU01000001.1:730894-731475	GCF_003719715:JJAEFDDB_00751	dTDP-4-dehydrorhamnose 3,5-epimerase	5.1.3.13	
g020740	GCF_003719715:NZ_RIAU01000001.1:731487-732527	GCF_003719715:JJAEFDDB_00752	dTDP-glucose 4,6-dehydratase	4.2.1.46	
g020741	GCF_003719715:NZ_RIAU01000001.1:732677-733450	GCF_003719715:JJAEFDDB_00753	hypothetical protein		
g020742	GCF_003719715:NZ_RIAU01000001.1:733455-734435	GCF_003719715:JJAEFDDB_00754	hypothetical protein		
g020743	GCF_003719715:NZ_RIAU01000001.1:734422-735321	GCF_003719715:JJAEFDDB_00755	hypothetical protein		
g020744	GCF_003719715:NZ_RIAU01000001.1:735332-736405	GCF_003719715:JJAEFDDB_00756	hypothetical protein		
g020745	GCF_003719715:NZ_RIAU01000001.1:736417-737364	GCF_003719715:JJAEFDDB_00757	hypothetical protein		
g020746	GCF_003719715:NZ_RIAU01000001.1:737365-738594	GCF_003719715:JJAEFDDB_00758	hypothetical protein		
g020747	GCF_003719715:NZ_RIAU01000001.1:738961-739461	GCF_003719715:JJAEFDDB_00759	hypothetical protein		
g020748	GCF_003719715:NZ_RIAU01000001.1:739478-740497	GCF_003719715:JJAEFDDB_00760	hypothetical protein		
g020749	GCF_003719715:NZ_RIAU01000001.1:743121-743537	GCF_003719715:JJAEFDDB_00763	hypothetical protein		
g020750	GCF_003719715:NZ_RIAU01000001.1:748244-750079	GCF_003719715:JJAEFDDB_00770	hypothetical protein		
g020751	GCF_003719715:NZ_RIAU01000001.1:762749-762135	GCF_003719715:JJAEFDDB_00778	hypothetical protein		
g020752	GCF_003719715:NZ_RIAU01000001.1:769648-771549	GCF_003719715:JJAEFDDB_00785	hypothetical protein		
g020753	GCF_003719715:NZ_RIAU01000001.1:805341-804754	GCF_003719715:JJAEFDDB_00833	hypothetical protein		
g020754	GCF_003719715:NZ_RIAU01000001.1:867688-866948	GCF_003719715:JJAEFDDB_00891	Antiholin-like protein LrgB		
g020755	GCF_003719715:NZ_RIAU01000001.1:903159-903449	GCF_003719715:JJAEFDDB_00925	hypothetical protein		
g020756	GCF_003719715:NZ_RIAU01000001.1:903768-904526	GCF_003719715:JJAEFDDB_00926	hypothetical protein		
g020757	GCF_003719715:NZ_RIAU01000001.1:922743-922249	GCF_003719715:JJAEFDDB_00944	Putative phosphinothricin acetyltransferase YwnH	2.3.1.183	
g020758	GCF_003719715:NZ_RIAU01000005.1:7714-10062	GCF_003719715:JJAEFDDB_01799	Protein translocase subunit SecA		
g020759	GCF_003719715:NZ_RIAU01000009.1:157-840	GCF_003719715:JJAEFDDB_01806	hypothetical protein		
g020760	GCF_003719715:NZ_RIAU01000011.1:124-1419	GCF_003719715:JJAEFDDB_01766	hypothetical protein		
g020761	GCF_003719715:NZ_RIAU01000016.1:1646-240	GCF_003719715:JJAEFDDB_01768	hypothetical protein		
g020762	GCF_003719715:NZ_RIAU01000016.1:3205-1799	GCF_003719715:JJAEFDDB_01769	hypothetical protein		
g020763	GCF_003719715:NZ_RIAU01000016.1:4250-3288	GCF_003719715:JJAEFDDB_01770	putative glycosyltransferase YkoT	2.4.-.-	
g020764	GCF_003719715:NZ_RIAU01000016.1:5444-4254	GCF_003719715:JJAEFDDB_01771	hypothetical protein		
g020765	GCF_003719715:NZ_RIAU01000016.1:7967-7101	GCF_003719715:JJAEFDDB_01773	hypothetical protein		
g020766	GCF_003719715:NZ_RIAU01000018.1:10182-10814	GCF_003719715:JJAEFDDB_01782	hypothetical protein		
g020767	GCF_003719715:NZ_RIAU01000018.1:1162-728	GCF_003719715:JJAEFDDB_01774	Insertion sequence IS5376 putative ATP-binding protein		
g020768	GCF_003719715:NZ_RIAU01000018.1:11623-12285	GCF_003719715:JJAEFDDB_01783	hypothetical protein		
g020769	GCF_003719715:NZ_RIAU01000018.1:2114-1215	GCF_003719715:JJAEFDDB_01775	Modification methylase MboII	2.1.1.72	
g020770	GCF_003719715:NZ_RIAU01000018.1:3111-2092	GCF_003719715:JJAEFDDB_01776	hypothetical protein		
g020771	GCF_003719715:NZ_RIAU01000018.1:3485-3111	GCF_003719715:JJAEFDDB_01777	hypothetical protein		
g020772	GCF_003719715:NZ_RIAU01000018.1:4372-3485	GCF_003719715:JJAEFDDB_01778	Chromosome-partitioning ATPase Soj	3.6.-.-	
g020773	GCF_003719715:NZ_RIAU01000018.1:6249-5650	GCF_003719715:JJAEFDDB_01779	Putative transposon Tn552 DNA-invertase bin3		
g020774	GCF_003719715:NZ_RIAU01000018.1:8296-6755	GCF_003719715:JJAEFDDB_01780	hypothetical protein		
g020775	GCF_003719715:NZ_RIAU01000018.1:9275-10105	GCF_003719715:JJAEFDDB_01781	hypothetical protein		
g020776	GCF_003719715:NZ_RIAU01000019.1:1457-864	GCF_003719715:JJAEFDDB_01787	Monoacylglycerol lipase	3.1.1.23	
g020777	GCF_003790365:NZ_RJWE01000001.1:110744-109695	GCF_003790365:LCNBPIOE_00622	Malolactic enzyme	4.1.1.101	
g020778	GCF_003790365:NZ_RJWE01000001.1:111323-110787	GCF_003790365:LCNBPIOE_00623	Malolactic enzyme	4.1.1.101	
g020779	GCF_003790365:NZ_RJWE01000001.1:3118-662	GCF_003790365:LCNBPIOE_00502	ATP-dependent RNA helicase DbpA	3.6.4.13	
g020780	GCF_003790365:NZ_RJWE01000001.1:5466-5143	GCF_003790365:LCNBPIOE_00505	hypothetical protein		
g020781	GCF_003790365:NZ_RJWE01000001.1:59964-59554	GCF_003790365:LCNBPIOE_00566	hypothetical protein		
g020782	GCF_003790365:NZ_RJWE01000001.1:60215-59985	GCF_003790365:LCNBPIOE_00567	hypothetical protein		
g020783	GCF_003790365:NZ_RJWE01000002.1:16236-15691	GCF_003790365:LCNBPIOE_00942	hypothetical protein		
g020784	GCF_003790365:NZ_RJWE01000002.1:18593-18228	GCF_003790365:LCNBPIOE_00947	hypothetical protein		
g020785	GCF_003790365:NZ_RJWE01000002.1:25217-25071	GCF_003790365:LCNBPIOE_00955	hypothetical protein		
g020786	GCF_003790365:NZ_RJWE01000002.1:2558-1632	GCF_003790365:LCNBPIOE_00927	hypothetical protein		
g020787	GCF_003790365:NZ_RJWE01000002.1:26393-25953	GCF_003790365:LCNBPIOE_00957	hypothetical protein		
g020788	GCF_003790365:NZ_RJWE01000002.1:31505-31362	GCF_003790365:LCNBPIOE_00965	hypothetical protein		
g020789	GCF_003790365:NZ_RJWE01000002.1:32134-31919	GCF_003790365:LCNBPIOE_00968	hypothetical protein		
g020790	GCF_003790365:NZ_RJWE01000002.1:33774-33253	GCF_003790365:LCNBPIOE_00971	hypothetical protein		
g020791	GCF_003790365:NZ_RJWE01000002.1:36105-35281	GCF_003790365:LCNBPIOE_00975	hypothetical protein		
g020792	GCF_003790365:NZ_RJWE01000002.1:38041-37256	GCF_003790365:LCNBPIOE_00978	hypothetical protein		
g020793	GCF_003790365:NZ_RJWE01000002.1:38468-38256	GCF_003790365:LCNBPIOE_00980	hypothetical protein		
g020794	GCF_003790365:NZ_RJWE01000002.1:38597-38475	GCF_003790365:LCNBPIOE_00981	hypothetical protein		
g020795	GCF_003790365:NZ_RJWE01000002.1:38945-38610	GCF_003790365:LCNBPIOE_00982	hypothetical protein		
g020796	GCF_003790365:NZ_RJWE01000002.1:41135-41458	GCF_003790365:LCNBPIOE_00988	HTH-type transcriptional regulator Xre		
g020797	GCF_003790365:NZ_RJWE01000002.1:4501-4121	GCF_003790365:LCNBPIOE_00931	hypothetical protein		
g020798	GCF_003790365:NZ_RJWE01000002.1:47819-47373	GCF_003790365:LCNBPIOE_00998	hypothetical protein		
g020799	GCF_003790365:NZ_RJWE01000002.1:48923-48786	GCF_003790365:LCNBPIOE_01000	hypothetical protein		
g020800	GCF_003790365:NZ_RJWE01000002.1:49779-49321	GCF_003790365:LCNBPIOE_01002	hypothetical protein		
g020801	GCF_003790365:NZ_RJWE01000002.1:50385-49780	GCF_003790365:LCNBPIOE_01003	hypothetical protein		
g020802	GCF_003790365:NZ_RJWE01000002.1:50846-50385	GCF_003790365:LCNBPIOE_01004	hypothetical protein		
g020803	GCF_003790365:NZ_RJWE01000002.1:51362-50853	GCF_003790365:LCNBPIOE_01005	hypothetical protein		
g020804	GCF_003790365:NZ_RJWE01000002.1:52767-51370	GCF_003790365:LCNBPIOE_01006	hypothetical protein		
g020805	GCF_003790365:NZ_RJWE01000002.1:52959-52780	GCF_003790365:LCNBPIOE_01007	hypothetical protein		
g020806	GCF_003790365:NZ_RJWE01000002.1:55566-53290	GCF_003790365:LCNBPIOE_01009	hypothetical protein		
g020807	GCF_003790365:NZ_RJWE01000002.1:60217-56513	GCF_003790365:LCNBPIOE_01011	hypothetical protein		
g020808	GCF_003790365:NZ_RJWE01000002.1:62157-61747	GCF_003790365:LCNBPIOE_01014	hypothetical protein		
g020809	GCF_003790365:NZ_RJWE01000002.1:65520-65317	GCF_003790365:LCNBPIOE_01020	hypothetical protein		
g020810	GCF_003790365:NZ_RJWE01000002.1:66480-65530	GCF_003790365:LCNBPIOE_01021	hypothetical protein		
g020811	GCF_003790365:NZ_RJWE01000002.1:68144-66480	GCF_003790365:LCNBPIOE_01022	hypothetical protein		
g020812	GCF_003790365:NZ_RJWE01000002.1:68974-68144	GCF_003790365:LCNBPIOE_01023	hypothetical protein		
g020813	GCF_003790365:NZ_RJWE01000002.1:69718-69116	GCF_003790365:LCNBPIOE_01024	hypothetical protein		
g020814	GCF_003790365:NZ_RJWE01000002.1:70738-70316	GCF_003790365:LCNBPIOE_01026	hypothetical protein		
g020815	GCF_003790365:NZ_RJWE01000002.1:71318-71208	GCF_003790365:LCNBPIOE_01028	hypothetical protein		
g020816	GCF_003790365:NZ_RJWE01000002.1:72092-71325	GCF_003790365:LCNBPIOE_01029	hypothetical protein		
g020817	GCF_003790365:NZ_RJWE01000002.1:73655-73212	GCF_003790365:LCNBPIOE_01032	hypothetical protein		
g020818	GCF_003790365:NZ_RJWE01000002.1:74759-73707	GCF_003790365:LCNBPIOE_01033	hypothetical protein		
g020819	GCF_003790365:NZ_RJWE01000002.1:76076-75561	GCF_003790365:LCNBPIOE_01034	hypothetical protein		
g020820	GCF_003790365:NZ_RJWE01000002.1:76395-76297	GCF_003790365:LCNBPIOE_01036	hypothetical protein		
g020821	GCF_003790365:NZ_RJWE01000002.1:77345-76926	GCF_003790365:LCNBPIOE_01039	hypothetical protein		
g020822	GCF_003790365:NZ_RJWE01000002.1:79758-78895	GCF_003790365:LCNBPIOE_01043	hypothetical protein		
g020823	GCF_003790365:NZ_RJWE01000002.1:83061-82876	GCF_003790365:LCNBPIOE_01049	hypothetical protein		
g020824	GCF_003790365:NZ_RJWE01000002.1:83830-84195	GCF_003790365:LCNBPIOE_01053	hypothetical protein		
g020825	GCF_003790365:NZ_RJWE01000002.1:84382-84155	GCF_003790365:LCNBPIOE_01054	hypothetical protein		
g020826	GCF_003790365:NZ_RJWE01000002.1:84742-84383	GCF_003790365:LCNBPIOE_01055	hypothetical protein		
g020827	GCF_003790365:NZ_RJWE01000002.1:86257-86682	GCF_003790365:LCNBPIOE_01059	hypothetical protein		
g020828	GCF_003790365:NZ_RJWE01000002.1:87494-88012	GCF_003790365:LCNBPIOE_01061	hypothetical protein		
g020829	GCF_003790365:NZ_RJWE01000002.1:88032-88499	GCF_003790365:LCNBPIOE_01062	hypothetical protein		
g020830	GCF_003790365:NZ_RJWE01000002.1:88492-88797	GCF_003790365:LCNBPIOE_01063	hypothetical protein		
g020831	GCF_003790365:NZ_RJWE01000003.1:50051-50605	GCF_003790365:LCNBPIOE_01349	hypothetical protein		
g020832	GCF_003790365:NZ_RJWE01000003.1:51955-50765	GCF_003790365:LCNBPIOE_01350	Tyrosine recombinase XerC		
g020833	GCF_003790365:NZ_RJWE01000003.1:52083-52259	GCF_003790365:LCNBPIOE_01351	hypothetical protein		
g020834	GCF_003790365:NZ_RJWE01000003.1:52952-53143	GCF_003790365:LCNBPIOE_01352	hypothetical protein		
g020835	GCF_003790365:NZ_RJWE01000003.1:53179-53307	GCF_003790365:LCNBPIOE_01353	hypothetical protein		
g020836	GCF_003790365:NZ_RJWE01000003.1:53329-53529	GCF_003790365:LCNBPIOE_01354	hypothetical protein		
g020837	GCF_003790365:NZ_RJWE01000003.1:53551-53871	GCF_003790365:LCNBPIOE_01355	hypothetical protein		
g020838	GCF_003790365:NZ_RJWE01000003.1:54021-54224	GCF_003790365:LCNBPIOE_01356	hypothetical protein		
g020839	GCF_003790365:NZ_RJWE01000003.1:54395-56827	GCF_003790365:LCNBPIOE_01357	hypothetical protein		
g020840	GCF_003790365:NZ_RJWE01000003.1:56871-57323	GCF_003790365:LCNBPIOE_01358	hypothetical protein		
g020841	GCF_003790365:NZ_RJWE01000003.1:58318-59532	GCF_003790365:LCNBPIOE_01359	hypothetical protein		
g020842	GCF_003790365:NZ_RJWE01000003.1:59803-60321	GCF_003790365:LCNBPIOE_01360	Restriction enzyme BgcI subunit beta	3.1.21.-	
g020843	GCF_003790365:NZ_RJWE01000003.1:60318-61682	GCF_003790365:LCNBPIOE_01361	hypothetical protein		
g020844	GCF_003790365:NZ_RJWE01000003.1:61675-62004	GCF_003790365:LCNBPIOE_01362	hypothetical protein		
g020845	GCF_003790365:NZ_RJWE01000003.1:61997-62200	GCF_003790365:LCNBPIOE_01363	hypothetical protein		
g020846	GCF_003790365:NZ_RJWE01000003.1:62211-62636	GCF_003790365:LCNBPIOE_01364	hypothetical protein		
g020847	GCF_003790365:NZ_RJWE01000003.1:62704-63213	GCF_003790365:LCNBPIOE_01365	hypothetical protein		
g020848	GCF_003790365:NZ_RJWE01000003.1:63672-64148	GCF_003790365:LCNBPIOE_01366	hypothetical protein		
g020849	GCF_003790365:NZ_RJWE01000003.1:64148-66040	GCF_003790365:LCNBPIOE_01367	hypothetical protein		
g020850	GCF_003790365:NZ_RJWE01000003.1:66231-67433	GCF_003790365:LCNBPIOE_01368	hypothetical protein		
g020851	GCF_003790365:NZ_RJWE01000003.1:67414-68190	GCF_003790365:LCNBPIOE_01369	ATP-dependent Clp protease proteolytic subunit	3.4.21.92	
g020852	GCF_003790365:NZ_RJWE01000003.1:68193-69380	GCF_003790365:LCNBPIOE_01370	hypothetical protein		
g020853	GCF_003790365:NZ_RJWE01000003.1:69395-69727	GCF_003790365:LCNBPIOE_01371	hypothetical protein		
g020854	GCF_003790365:NZ_RJWE01000003.1:70235-70693	GCF_003790365:LCNBPIOE_01373	hypothetical protein		
g020855	GCF_003790365:NZ_RJWE01000003.1:71097-71687	GCF_003790365:LCNBPIOE_01375	hypothetical protein		
g020856	GCF_003790365:NZ_RJWE01000003.1:71737-72177	GCF_003790365:LCNBPIOE_01376	hypothetical protein		
g020857	GCF_003790365:NZ_RJWE01000003.1:72194-72370	GCF_003790365:LCNBPIOE_01377	hypothetical protein		
g020858	GCF_003790365:NZ_RJWE01000003.1:72407-76039	GCF_003790365:LCNBPIOE_01378	hypothetical protein		
g020859	GCF_003790365:NZ_RJWE01000003.1:76060-76980	GCF_003790365:LCNBPIOE_01379	hypothetical protein		
g020860	GCF_003790365:NZ_RJWE01000003.1:76996-79401	GCF_003790365:LCNBPIOE_01380	hypothetical protein		
g020861	GCF_003790365:NZ_RJWE01000003.1:79432-79752	GCF_003790365:LCNBPIOE_01381	hypothetical protein		
g020862	GCF_003790365:NZ_RJWE01000003.1:79767-80921	GCF_003790365:LCNBPIOE_01382	hypothetical protein		
g020863	GCF_003790365:NZ_RJWE01000003.1:80938-81264	GCF_003790365:LCNBPIOE_01383	hypothetical protein		
g020864	GCF_003790365:NZ_RJWE01000003.1:81251-81664	GCF_003790365:LCNBPIOE_01384	hypothetical protein		
g020865	GCF_003790365:NZ_RJWE01000003.1:81765-82967	GCF_003790365:LCNBPIOE_01385	hypothetical protein		
g020866	GCF_003790365:NZ_RJWE01000003.1:82984-85242	GCF_003790365:LCNBPIOE_01386	hypothetical protein		
g020867	GCF_003790365:NZ_RJWE01000003.1:85652-88198	GCF_003790365:LCNBPIOE_01387	hypothetical protein		
g020868	GCF_003790365:NZ_RJWE01000003.1:88710-88234	GCF_003790365:LCNBPIOE_01388	hypothetical protein		
g020869	GCF_003790365:NZ_RJWE01000003.1:89106-88738	GCF_003790365:LCNBPIOE_01389	hypothetical protein		
g020870	GCF_003790365:NZ_RJWE01000003.1:89713-89510	GCF_003790365:LCNBPIOE_01390	hypothetical protein		
g020871	GCF_003790365:NZ_RJWE01000004.1:18727-19512	GCF_003790365:LCNBPIOE_01583	hypothetical protein		
g020872	GCF_003790365:NZ_RJWE01000005.1:34395-33454	GCF_003790365:LCNBPIOE_01813	Primosomal protein DnaI		
g020873	GCF_003790365:NZ_RJWE01000005.1:40536-41210	GCF_003790365:LCNBPIOE_01819	hypothetical protein		
g020874	GCF_003790365:NZ_RJWE01000005.1:50880-48811	GCF_003790365:LCNBPIOE_01828	hypothetical protein		
g020875	GCF_003790365:NZ_RJWE01000005.1:52048-51323	GCF_003790365:LCNBPIOE_01829	hypothetical protein		
g020876	GCF_003790365:NZ_RJWE01000005.1:66551-67255	GCF_003790365:LCNBPIOE_01843	L-lactate dehydrogenase	1.1.1.27	
g020877	GCF_003790365:NZ_RJWE01000005.1:67218-67490	GCF_003790365:LCNBPIOE_01844	L-lactate dehydrogenase	1.1.1.27	
g020878	GCF_003790365:NZ_RJWE01000007.1:36-374	GCF_003790365:LCNBPIOE_02109	ISL3 family transposase IS1165		
g020879	GCF_003790365:NZ_RJWE01000007.1:43007-42726	GCF_003790365:LCNBPIOE_02154	Phosphopentomutase	5.4.2.7	
g020880	GCF_003790365:NZ_RJWE01000007.1:43912-43055	GCF_003790365:LCNBPIOE_02155	Phosphopentomutase	5.4.2.7	
g020881	GCF_003790365:NZ_RJWE01000008.1:11705-11325	GCF_003790365:LCNBPIOE_02260	Biotin transporter BioY		
g020882	GCF_003790365:NZ_RJWE01000008.1:11896-11687	GCF_003790365:LCNBPIOE_02261	Biotin transporter BioY		
g020883	GCF_003790365:NZ_RJWE01000009.1:13555-14091	GCF_003790365:LCNBPIOE_02358	hypothetical protein		
g020884	GCF_003790365:NZ_RJWE01000009.1:56278-57429	GCF_003790365:LCNBPIOE_02392	hypothetical protein		
g020885	GCF_003790365:NZ_RJWE01000010.1:34918-34046	GCF_003790365:LCNBPIOE_00070	Farnesyl diphosphate synthase	2.5.1.10	
g020886	GCF_003790365:NZ_RJWE01000010.1:42883-42476	GCF_003790365:LCNBPIOE_00082	hypothetical protein		
g020887	GCF_003790365:NZ_RJWE01000011.1:11021-10080	GCF_003790365:LCNBPIOE_00125	putative cell division protein WhiA		
g020888	GCF_003790365:NZ_RJWE01000011.1:42314-41706	GCF_003790365:LCNBPIOE_00153	Riboflavin transporter RibZ		
g020889	GCF_003790365:NZ_RJWE01000011.1:43090-42338	GCF_003790365:LCNBPIOE_00154	Putative multidrug resistance protein MdtD		
g020890	GCF_003790365:NZ_RJWE01000011.1:47916-47521	GCF_003790365:LCNBPIOE_00159	Prolyl-tRNA editing protein ProX		
g020891	GCF_003790365:NZ_RJWE01000012.1:28212-27535	GCF_003790365:LCNBPIOE_00207	Protein YhgF		
g020892	GCF_003790365:NZ_RJWE01000012.1:29712-28219	GCF_003790365:LCNBPIOE_00208	Protein YhgF		
g020893	GCF_003790365:NZ_RJWE01000013.1:43-1227	GCF_003790365:LCNBPIOE_00240	High-affinity gluconate transporter		
g020894	GCF_003790365:NZ_RJWE01000014.1:17246-16716	GCF_003790365:LCNBPIOE_00303	sugar efflux transporter		
g020895	GCF_003790365:NZ_RJWE01000014.1:17878-17381	GCF_003790365:LCNBPIOE_00304	Inner membrane transport protein YdhP		
g020896	GCF_003790365:NZ_RJWE01000014.1:23383-21977	GCF_003790365:LCNBPIOE_00308	putative glutamate/gamma-aminobutyrate antiporter		
g020897	GCF_003790365:NZ_RJWE01000014.1:26711-26403	GCF_003790365:LCNBPIOE_00311	hypothetical protein		
g020898	GCF_003790365:NZ_RJWE01000014.1:33026-30960	GCF_003790365:LCNBPIOE_00317	hypothetical protein		
g020899	GCF_003790365:NZ_RJWE01000016.1:10186-9068	GCF_003790365:LCNBPIOE_00378	UDP-galactopyranose mutase	5.4.99.9	
g020900	GCF_003790365:NZ_RJWE01000016.1:10859-10212	GCF_003790365:LCNBPIOE_00379	putative sugar transferase EpsL	2.-.-.-	
g020901	GCF_003790365:NZ_RJWE01000016.1:13454-12660	GCF_003790365:LCNBPIOE_00382	Regulatory protein RecX		
g020902	GCF_003790365:NZ_RJWE01000016.1:24822-23701	GCF_003790365:LCNBPIOE_00394	UDP-N-acetylglucosamine 2-epimerase	5.1.3.14	
g020903	GCF_003790365:NZ_RJWE01000016.1:27366-26347	GCF_003790365:LCNBPIOE_00397	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU	1.1.1.371	
g020904	GCF_003790365:NZ_RJWE01000016.1:5235-3724	GCF_003790365:LCNBPIOE_00374	hypothetical protein		
g020905	GCF_003790365:NZ_RJWE01000016.1:6428-5397	GCF_003790365:LCNBPIOE_00375	Glucosyltransferase 3	2.4.1.-	
g020906	GCF_003790365:NZ_RJWE01000016.1:7491-6442	GCF_003790365:LCNBPIOE_00376	Lipopolysaccharide 1,6-galactosyltransferase	2.4.1.-	
g020907	GCF_003790365:NZ_RJWE01000017.1:100-750	GCF_003790365:LCNBPIOE_00411	Beta-phosphoglucomutase	5.4.2.6	
g020908	GCF_003790365:NZ_RJWE01000018.1:12945-12181	GCF_003790365:LCNBPIOE_00458	hypothetical protein		
g020909	GCF_003790365:NZ_RJWE01000018.1:14911-13400	GCF_003790365:LCNBPIOE_00459	hypothetical protein		
g020910	GCF_003790365:NZ_RJWE01000018.1:15392-15087	GCF_003790365:LCNBPIOE_00460	hypothetical protein		
g020911	GCF_003790365:NZ_RJWE01000018.1:16468-15566	GCF_003790365:LCNBPIOE_00461	hypothetical protein		
g020912	GCF_003790365:NZ_RJWE01000018.1:16661-17431	GCF_003790365:LCNBPIOE_00462	hypothetical protein		
g020913	GCF_003790365:NZ_RJWE01000018.1:17665-17489	GCF_003790365:LCNBPIOE_00463	hypothetical protein		
g020914	GCF_003790365:NZ_RJWE01000018.1:17886-17677	GCF_003790365:LCNBPIOE_00464	hypothetical protein		
g020915	GCF_003790365:NZ_RJWE01000018.1:18236-18694	GCF_003790365:LCNBPIOE_00465	hypothetical protein		
g020916	GCF_003790365:NZ_RJWE01000018.1:18720-19442	GCF_003790365:LCNBPIOE_00466	hypothetical protein		
g020917	GCF_003790365:NZ_RJWE01000018.1:19759-21261	GCF_003790365:LCNBPIOE_00467	hypothetical protein		
g020918	GCF_003790365:NZ_RJWE01000018.1:21871-22278	GCF_003790365:LCNBPIOE_00468	hypothetical protein		
g020919	GCF_003790365:NZ_RJWE01000018.1:22322-22744	GCF_003790365:LCNBPIOE_00469	hypothetical protein		
g020920	GCF_003790365:NZ_RJWE01000018.1:22731-23066	GCF_003790365:LCNBPIOE_00470	hypothetical protein		
g020921	GCF_003790365:NZ_RJWE01000018.1:23235-24230	GCF_003790365:LCNBPIOE_00471	hypothetical protein		
g020922	GCF_003790365:NZ_RJWE01000018.1:24246-26546	GCF_003790365:LCNBPIOE_00472	hypothetical protein		
g020923	GCF_003790365:NZ_RJWE01000018.1:26561-31114	GCF_003790365:LCNBPIOE_00473	hypothetical protein		
g020924	GCF_003790365:NZ_RJWE01000018.1:31120-31845	GCF_003790365:LCNBPIOE_00474	hypothetical protein		
g020925	GCF_003790365:NZ_RJWE01000018.1:3635-393	GCF_003790365:LCNBPIOE_00450	hypothetical protein		
g020926	GCF_003790365:NZ_RJWE01000018.1:3793-4020	GCF_003790365:LCNBPIOE_00451	hypothetical protein		
g020927	GCF_003790365:NZ_RJWE01000018.1:380-126	GCF_003790365:LCNBPIOE_00449	hypothetical protein		
g020928	GCF_003790365:NZ_RJWE01000018.1:4017-4913	GCF_003790365:LCNBPIOE_00452	hypothetical protein		
g020929	GCF_003790365:NZ_RJWE01000018.1:4955-5113	GCF_003790365:LCNBPIOE_00453	hypothetical protein		
g020930	GCF_003790365:NZ_RJWE01000018.1:5331-5702	GCF_003790365:LCNBPIOE_00454	hypothetical protein		
g020931	GCF_003790365:NZ_RJWE01000018.1:5798-6232	GCF_003790365:LCNBPIOE_00455	hypothetical protein		
g020932	GCF_003790365:NZ_RJWE01000018.1:8106-7168	GCF_003790365:LCNBPIOE_00456	Tyrosine recombinase XerC		
g020933	GCF_003790365:NZ_RJWE01000018.1:8355-11933	GCF_003790365:LCNBPIOE_00457	hypothetical protein		
g020934	GCF_003790365:NZ_RJWE01000020.1:15083-15520	GCF_003790365:LCNBPIOE_00638	hypothetical protein		
g020935	GCF_003790365:NZ_RJWE01000020.1:21972-15793	GCF_003790365:LCNBPIOE_00639	hypothetical protein		
g020936	GCF_003790365:NZ_RJWE01000020.1:2337-241	GCF_003790365:LCNBPIOE_00630	DNA topoisomerase 3	5.6.2.1	
g020937	GCF_003790365:NZ_RJWE01000020.1:25203-24346	GCF_003790365:LCNBPIOE_00641	hypothetical protein		
g020938	GCF_003790365:NZ_RJWE01000020.1:25537-25184	GCF_003790365:LCNBPIOE_00642	hypothetical protein		
g020939	GCF_003790365:NZ_RJWE01000020.1:26177-25527	GCF_003790365:LCNBPIOE_00643	hypothetical protein		
g020940	GCF_003790365:NZ_RJWE01000020.1:26744-26178	GCF_003790365:LCNBPIOE_00644	hypothetical protein		
g020941	GCF_003790365:NZ_RJWE01000020.1:27378-26863	GCF_003790365:LCNBPIOE_00645	hypothetical protein		
g020942	GCF_003790365:NZ_RJWE01000020.1:28900-27563	GCF_003790365:LCNBPIOE_00646	hypothetical protein		
g020943	GCF_003790365:NZ_RJWE01000020.1:29918-28878	GCF_003790365:LCNBPIOE_00647	hypothetical protein		
g020944	GCF_003790365:NZ_RJWE01000020.1:31051-29930	GCF_003790365:LCNBPIOE_00648	hypothetical protein		
g020945	GCF_003790365:NZ_RJWE01000020.1:4280-2409	GCF_003790365:LCNBPIOE_00631	hypothetical protein		
g020946	GCF_003790365:NZ_RJWE01000020.1:5675-4293	GCF_003790365:LCNBPIOE_00632	hypothetical protein		
g020947	GCF_003790365:NZ_RJWE01000020.1:6673-5690	GCF_003790365:LCNBPIOE_00633	hypothetical protein		
g020948	GCF_003790365:NZ_RJWE01000020.1:8047-6839	GCF_003790365:LCNBPIOE_00634	hypothetical protein		
g020949	GCF_003790365:NZ_RJWE01000020.1:9199-8336	GCF_003790365:LCNBPIOE_00635	hypothetical protein		
g020950	GCF_003790365:NZ_RJWE01000020.1:9392-13876	GCF_003790365:LCNBPIOE_00636	hypothetical protein		
g020951	GCF_003790365:NZ_RJWE01000023.1:10594-11157	GCF_003790365:LCNBPIOE_00724	hypothetical protein		
g020952	GCF_003790365:NZ_RJWE01000023.1:12357-11722	GCF_003790365:LCNBPIOE_00725	hypothetical protein		
g020953	GCF_003790365:NZ_RJWE01000023.1:129-419	GCF_003790365:LCNBPIOE_00716	hypothetical protein		
g020954	GCF_003790365:NZ_RJWE01000023.1:13024-12521	GCF_003790365:LCNBPIOE_00726	hypothetical protein		
g020955	GCF_003790365:NZ_RJWE01000023.1:13608-13024	GCF_003790365:LCNBPIOE_00727	hypothetical protein		
g020956	GCF_003790365:NZ_RJWE01000023.1:14037-13837	GCF_003790365:LCNBPIOE_00728	hypothetical protein		
